observation_id,edge_ids,matched,reason,edge_count,total_length,expected_length,max_speed_kmh,missing_len_cnt,match_method
1,"[""105735_rev"", ""273264_rev"", ""105528"", ""105501"", ""105502"", ""106883"", ""106884_rev"", ""106894_rev"", ""105511_rev"", ""105609_rev"", ""284967_rev"", ""284974"", ""284930_rev"", ""261602"", ""106963"", ""106955"", ""105653"", ""105653_rev""]",True,HIGHSPEED_FILTERED,18,1751.2,665.8,50.0,0,stop_index
2,"[""261602"", ""106963"", ""106955"", ""105653"", ""105653_rev"", ""107154""]",True,HIGHSPEED_FILTERED,6,490.6,483.5,50.0,0,distance_bisect
3,"[""107154_rev"", ""107002"", ""105952_rev"", ""105929"", ""115859"", ""105926"", ""105922"", ""105923"", ""105925""]",True,HIGHSPEED_FILTERED,9,356.5,483.5,50.0,0,distance_bisect
4,"[""115859"", ""105926"", ""105922"", ""105923"", ""105925"", ""105910"", ""105819"", ""137853"", ""137854"", ""285166"", ""105817"", ""105832"", ""105830"", ""105829"", ""105827"", ""106986_rev"", ""106985_rev"", ""105836_rev"", ""105886_rev"", ""105866_rev"", ""105880_rev"", ""106995"", ""106996"", ""106993""]",True,OK,24,1091.1,406.4,50.0,0,distance_bisect
5,"[""105866_rev"", ""105880_rev"", ""106995"", ""106996"", ""106993"", ""106991"", ""106728"", ""106729"", ""106073"", ""105770_rev"", ""106116_rev"", ""106062_rev"", ""106056_rev"", ""105785_rev""]",True,OK,14,809.0,278.6,50.0,0,distance_bisect
6,"[""106116_rev"", ""106062_rev"", ""106056_rev"", ""105785_rev"", ""105786_rev"", ""106028"", ""106053_rev"", ""106077"", ""106285_rev"", ""106243_rev"", ""105334_rev"", ""105335"", ""105335_rev"", ""105336_rev"", ""105351"", ""105343"", ""106429"", ""107083"", ""106344"", ""106365""]",True,OK,20,1200.5,441.7,50.0,0,distance_bisect
7,"[""107083"", ""106344"", ""106365"", ""106366_rev"", ""106367"", ""106272_rev"", ""106270_rev"", ""106320"", ""284524"", ""106580"", ""106608"", ""106627""]",True,OK,12,1074.2,424.1,50.0,0,distance_bisect
8,"[""106628"", ""107088"", ""107087""]",True,OK,3,817.7,330.1,50.0,0,distance_bisect
9,"[""107087"", ""106628"", ""107088"", ""106625"", ""106623"", ""106624"", ""106537_rev"", ""105377"", ""106535"", ""9343"", ""9029""]",True,OK,11,1467.5,516.7,50.0,0,distance_bisect
10,"[""9343"", ""9029"", ""272309"", ""9623_rev"", ""8312_rev"", ""9639_rev"", ""8006_rev"", ""9640_rev"", ""8991_rev"", ""8998"", ""7993"", ""8997"", ""8303_rev""]",True,OK,13,1507.2,506.2,50.0,0,distance_bisect
11,"[""8303_rev"", ""9023_rev"", ""9023"", ""8303"", ""8302"", ""9638"", ""8337"", ""9357"", ""8327"", ""116396"", ""8024"", ""8044"", ""8663_rev"", ""7654_rev"", ""9043_rev"", ""8975_rev"", ""8696_rev""]",True,HIGHSPEED_FILTERED,17,1483.9,667.1,50.0,0,distance_bisect
12,"[""9677_rev"", ""7710_rev"", ""8807_rev"", ""7495_rev"", ""7441_rev"", ""9695""]",True,OK,6,2600.5,1174.7,80.0,0,distance_bisect
13,"[""96751"", ""97156"", ""95438"", ""95768"", ""97189"", ""95762_rev"", ""95649_rev"", ""95494"", ""95472"", ""95407"", ""272888"", ""95600"", ""95654"", ""95372"", ""95926_rev"", ""95925_rev"", ""95480"", ""95649"", ""97187"", ""97152_rev"", ""97181_rev"", ""97353_rev"", ""97352_rev"", ""97349_rev"", ""96248_rev"", ""97253_rev"", ""97153_rev"", ""96253"", ""95550"", ""96273_rev"", ""272583_rev"", ""96271_rev"", ""96270_rev"", ""97407_rev"", ""94941"", ""94942"", ""97011_rev"", ""96522_rev"", ""96522"", ""94452_rev"", ""96478"", ""96478_rev"", ""96525_rev"", ""96524_rev"", ""94947_rev"", ""142955"", ""97070"", ""97407"", ""96270"", ""96271""]",True,OK,50,7016.9,4683.1,70.0,0,distance_bisect
14,"[""96003_rev""]",True,OK,1,929.8,312.4,80.0,0,distance_bisect
15,"[""94499"", ""94379"", ""94378"", ""95236_rev"", ""95235_rev""]",True,HIGHSPEED_FILTERED,5,304.5,507.2,50.0,0,distance_bisect
16,"[""97403"", ""96300""]",True,OK,2,394.8,345.4,50.0,0,distance_bisect
17,"[""272663""]",True,OK,1,534.1,751.2,70.0,0,distance_bisect
