observation_id,edge_ids,matched
1,"[""105735_rev"", ""273264_rev"", ""105528"", ""105501"", ""105502"", ""106883"", ""106884_rev"", ""106894_rev"", ""105511_rev"", ""105609_rev"", ""284967_rev"", ""284974"", ""284930_rev"", ""106938"", ""261602"", ""106935_rev"", ""107180_rev"", ""105753_rev"", ""105729_rev"", ""106963"", ""106955"", ""105653"", ""105653_rev""]",True
2,"[""106831_rev"", ""106831"", ""106838_rev"", ""107154_rev"", ""107002"", ""105952_rev"", ""105929"", ""115859"", ""105926"", ""105922"", ""105923"", ""105925"", ""105910"", ""105819"", ""137853"", ""137854"", ""285166"", ""105817""]",True
3,"[""106985_rev"", ""105836_rev"", ""105886_rev"", ""105866_rev"", ""105880_rev"", ""106995"", ""106996"", ""106993"", ""106991"", ""106728"", ""106729"", ""106073""]",True
4,"[""106073"", ""105770_rev"", ""106116_rev"", ""106062_rev"", ""106056_rev"", ""105785_rev"", ""105786_rev""]",True
5,"[""105786_rev"", ""106028"", ""106053_rev"", ""106077"", ""106285_rev"", ""106243_rev"", ""105334_rev"", ""105335"", ""105335_rev""]",True
6,"[""105335_rev"", ""105336_rev"", ""105351"", ""105343"", ""106429"", ""107083""]",True
7,"[""107083"", ""106344"", ""106365"", ""106366_rev"", ""106367"", ""106272_rev"", ""106270_rev"", ""106320"", ""284524"", ""106580""]",True
8,"[""106580"", ""106608"", ""106627"", ""106628"", ""107088"", ""107087""]",True
9,"[""107087"", ""106628"", ""107088"", ""106625"", ""106623"", ""106624"", ""106537_rev"", ""105377"", ""106535"", ""9343"", ""9029"", ""272309""]",True
10,"[""272309"", ""9623_rev"", ""8312_rev"", ""9639_rev"", ""8006_rev"", ""9640_rev"", ""8991_rev"", ""8998"", ""7993"", ""8997"", ""8303_rev"", ""9023_rev"", ""9023""]",True
16,"[""97403"", ""96300""]",True
17,"[""95649"", ""95649_rev"", ""95494"", ""95472"", ""95407"", ""272888"", ""95425""]",True
22,"[""4287_rev"", ""1034_rev"", ""278131_rev"", ""278129_rev"", ""2666_rev"", ""29"", ""5771_rev"", ""1598_rev"", ""4730_rev"", ""4733_rev"", ""4735"", ""2879"", ""4301"", ""3474"", ""2276_rev"", ""2921"", ""1920_rev"", ""367_rev"", ""5272_rev"", ""5291""]",True
39,"[""96999"", ""96344""]",True
40,"[""96344"", ""93953_rev""]",True
41,"[""96965"", ""97116""]",True
