route,bound,seq,stop_id,stop_name,orig_edge,fixed_edge,changed,is_internal_fix
68X,inbound,1,EC19750840FFEDDC,MONG KOK (PARK AVENUE) BUS TER,105735_rev,105735_rev,False,False
68X,inbound,2,B76B249D3D253008,FOO KWAI STREET (MK200),105653_rev,105653,True,False
68X,inbound,3,A7F35DC09E1A1528,BEECH STREET (MK140),106831_rev,106831_rev,True,False
68X,inbound,4,D242B538BA760551,MONG KOK ROAD (MK330),105817,105817,False,False
68X,inbound,5,11ED493F674F4888,"BUTE STREET, PIONEER CENTRE (M",106985_rev,106985,True,False
68X,inbound,6,BA765A2BCCE21F5C,TONG MI ROAD MONG KOK (MK304),106073,106073_rev,True,False
68X,inbound,7,BE510511B0A7344E,TAI NAN STREET (SS340),105786_rev,105786_rev,False,False
68X,inbound,8,BE1A19A3705F5B70,WONG CHUK STREET SHAM SHUI PO ,105335_rev,105335_rev,False,False
68X,inbound,9,95731C2B3563CF5E,YEN CHOW STREET SHAM SHUI PO (,107083,107083,False,False
68X,inbound,10,4AFCFC726ADBD5F7,YEE KOK COURT (SS221),106580,106580,False,False
68X,inbound,11,DD9DF46F3BA040EE,CHEUNG SHA WAN PLAYGROUND (SS2,107087,106597_rev,True,False
68X,inbound,12,B7C0A83790F94D99,HING WAH STREET CHEUNG SHA WAN,272309,272309,False,False
68X,inbound,13,06566A7FE3C6466A,CHEUNG LAI STREET CHEUNG SHA W,9023,9023_rev,True,False
68X,inbound,14,7DD772B7D55C54B2,MEI FOO BBI (SS321),8044,8044_rev,True,False
68X,inbound,15,62742CFBA2BE9854,KWAI CHUNG INTERCHANGE (KW100),9934,9934_rev,True,False
68X,inbound,16,E55FA660A59AB64A,TAI LAM TUNNEL BBI (B5) (YL232,93721_rev,93721,True,False
68X,inbound,17,E481F7170B1F6FC3,TAI LAM TUNNEL BBI (B1) (YL236,93499,93499,False,False
68X,inbound,18,14157BA5C06B0B6B,YOHO MIX (YL243),95989,95989,False,False
68X,inbound,19,F63C4B8B958E9830,YAU SAN STREET YUEN LONG (YL24,95503_rev,95503_rev,False,False
68X,inbound,20,74C51A8A3D783F40,TAI TONG ROAD YUEN LONG (YL253,95598,95598_rev,True,False
68X,inbound,21,0E2B8E1D544C6889,YUEN LONG POLICE STATION (YL25,95600,95600,False,False
68X,inbound,22,A010FE2C473103A8,SHUI PIN TSUEN (YL259),95649,95649,False,False
68X,inbound,23,70FEB409760C77EE,YUEN LONG PARK (YL261),95649,95649,False,False
68X,inbound,24,A1A1B10F5CE291AC,LONG BIN (YL263),97153_rev,97153_rev,False,False
68X,inbound,25,A2C36DF7152EE93F,PING SHAN (YL264),bridge_68X_GAP_2,bridge_68X_GAP_2,False,False
