route,bound,seg_idx,stop_from_seq,stop_to_seq,stop_from_id,stop_to_id,edge_from,edge_to,kmb_len_m,bus_len_m,excess_m,ratio
68X,inbound,0,1,2,EC19750840FFEDDC,B76B249D3D253008,105735_rev,105653,665.8,2436.1,1770.4,3.659
68X,inbound,1,2,3,B76B249D3D253008,A7F35DC09E1A1528,105653,106831,205.6,866.1,660.5,4.213
68X,inbound,2,3,4,A7F35DC09E1A1528,D242B538BA760551,106831,105817,483.5,1835.1,1351.7,3.796
68X,inbound,3,4,5,D242B538BA760551,11ED493F674F4888,105817,106985,337.9,396.8,58.9,1.174
68X,inbound,4,5,6,11ED493F674F4888,BA765A2BCCE21F5C,106985,106073_rev,483.5,767.7,284.2,1.588
68X,inbound,5,6,7,BA765A2BCCE21F5C,BE510511B0A7344E,106073_rev,105786_rev,406.4,361.8,-44.5,0.89
68X,inbound,6,7,8,BE510511B0A7344E,BE1A19A3705F5B70,105786_rev,105335_rev,278.6,383.5,104.9,1.377
68X,inbound,7,8,9,BE1A19A3705F5B70,95731C2B3563CF5E,105335_rev,107083,441.7,633.4,191.6,1.434
68X,inbound,8,9,10,95731C2B3563CF5E,4AFCFC726ADBD5F7,107083,106580,424.1,1073.8,649.8,2.532
68X,inbound,9,10,11,4AFCFC726ADBD5F7,DD9DF46F3BA040EE,106580,106597_rev,330.1,803.9,473.8,2.435
68X,inbound,10,11,12,DD9DF46F3BA040EE,B7C0A83790F94D99,106597_rev,272309,516.7,1326.3,809.6,2.567
68X,inbound,11,12,13,B7C0A83790F94D99,06566A7FE3C6466A,272309,9023_rev,506.2,1398.9,892.7,2.763
68X,inbound,12,13,14,06566A7FE3C6466A,7DD772B7D55C54B2,9023_rev,8044_rev,667.1,832.4,165.3,1.248
68X,inbound,13,14,15,7DD772B7D55C54B2,62742CFBA2BE9854,8044_rev,9934_rev,1174.7,2880.1,1705.4,2.452
68X,inbound,14,15,16,62742CFBA2BE9854,E55FA660A59AB64A,9934_rev,93721,14420.7,14611.1,190.4,1.013
68X,inbound,15,16,17,E55FA660A59AB64A,E481F7170B1F6FC3,93721,93499,98.2,279.9,181.7,2.85
68X,inbound,16,17,18,E481F7170B1F6FC3,14157BA5C06B0B6B,93499,95989,4683.1,5908.6,1225.4,1.262
68X,inbound,17,18,19,14157BA5C06B0B6B,F63C4B8B958E9830,95989,95503_rev,413.7,928.7,515.0,2.245
68X,inbound,18,19,20,F63C4B8B958E9830,74C51A8A3D783F40,95503_rev,95598_rev,331.3,6465.5,6134.2,19.515
68X,inbound,19,20,21,74C51A8A3D783F40,0E2B8E1D544C6889,95598_rev,95600,406.9,6396.1,5989.2,15.72
68X,inbound,22,23,24,70FEB409760C77EE,A1A1B10F5CE291AC,95649,97153_rev,473.0,8855.3,8382.3,18.721
68X,inbound,23,24,25,A1A1B10F5CE291AC,A2C36DF7152EE93F,97153_rev,bridge_68X_GAP_2,450.5,824.2,373.7,1.83
68X,inbound,24,25,26,A2C36DF7152EE93F,60A4F4A41CD61FAC,bridge_68X_GAP_2,95550,336.9,797.1,460.2,2.366
68X,inbound,25,26,27,60A4F4A41CD61FAC,8F6C8CEB9F17D97D,95550,96273_rev,262.7,1751.5,1488.8,6.667
68X,inbound,27,28,29,B09E18636F184247,B113E1371D5AC497,96273_rev,96522_rev,220.0,1870.6,1650.6,8.503
68X,inbound,28,29,30,B113E1371D5AC497,8FA8E142E834CB7C,96522_rev,96478,328.0,341.2,13.2,1.04
68X,inbound,29,30,31,8FA8E142E834CB7C,D86A74227012EAD3,96478,94947_rev,447.0,859.7,412.7,1.923
68X,inbound,30,31,32,D86A74227012EAD3,FFF1B4F48E111EAD,94947_rev,bridge_68X_GAP_8,312.4,449.1,136.6,1.437
68X,inbound,31,32,33,FFF1B4F48E111EAD,87BCEC3D8C6951B2,bridge_68X_GAP_8,96285,507.2,7071.5,6564.3,13.942
68X,inbound,32,33,34,87BCEC3D8C6951B2,6D66CBA494DECB08,96285,260430,480.6,8210.0,7729.4,17.083
68X,outbound,0,1,2,6D66CBA494DECB08,EF43A73D4C0CC508,260430,97403,475.1,638.5,163.4,1.344
68X,outbound,1,2,3,EF43A73D4C0CC508,BB4F24A4C6A9B222,97403,96300,345.4,695.0,349.6,2.012
68X,outbound,4,5,6,0BFC5F7FC4A2D431,5F616585205DDDF9,97070,97407,458.3,640.2,181.8,1.397
68X,outbound,5,6,7,5F616585205DDDF9,147D513A708AA741,97407,272583_rev,505.0,1464.1,959.1,2.899
