from_edge,to_edge,has_path,path_length,path_edges,blocking_type,blocking_detail,suggested_fix,route,bound,seq
105735_rev,105653_rev,True,2399.2099999999996,105735_rev 273264_rev 105528 105501 105502 106883 106884_rev 106894_rev 105511_rev 106898 ... (49 total),LONG_DETOUR (ratio=6.0),"Direct dist: 397m, Path: 2399m",Consider bridge edge or check intermediate connections,68X,inbound,1→2
105653_rev,106831_rev,True,989.72,105653_rev 105653 107154 106838 106831_rev,LONG_DETOUR (ratio=3.0),"Direct dist: 327m, Path: 990m",VIA_ROUTING may help,68X,inbound,2→3
272309,115789,True,1411.38,272309 9623_rev 8312_rev 9639_rev 8006_rev 9640_rev 8991_rev 8998 7993 8997 ... (14 total),LONG_DETOUR (ratio=2.7),"Direct dist: 522m, Path: 1411m",VIA_ROUTING may help,68X,inbound,12→13
95649,97153_rev,True,1297.42,95649 97187 97152_rev 97181_rev 97353_rev 97350_rev 95923_rev 96248_rev 97253_rev 97153_rev,LONG_DETOUR (ratio=2.1),"Direct dist: 624m, Path: 1297m",VIA_ROUTING may help,68X,inbound,23→24
97407,96273_rev,True,1525.7,97407 96270 96270_rev 97407_rev 97712_rev 96273_rev,LONG_DETOUR (ratio=121.8),"Direct dist: 13m, Path: 1526m",Consider bridge edge or check intermediate connections,68X,outbound,6→7
96273_rev,97153_rev,True,1518.2900000000002,96273_rev 95877 95876 96254_rev 95875 95874 97153_rev,LONG_DETOUR (ratio=4.2),"Direct dist: 360m, Path: 1518m",VIA_ROUTING may help,68X,outbound,8→9
97153_rev,95649,True,1564.6600000000003,97153_rev 95761_rev 95763_rev 97189 95762_rev 95649_rev 95649,LONG_DETOUR (ratio=2.2),"Direct dist: 702m, Path: 1565m",VIA_ROUTING may help,68X,outbound,9→10
95598,95592,True,596.11,95598 95598_rev 95489 95587_rev 95592,LONG_DETOUR (ratio=2.1),"Direct dist: 290m, Path: 596m",VIA_ROUTING may help,68X,outbound,12→13
107083,106268,True,1337.2400000000007,107083 106344 106365 106366_rev 106367 106705 106706 106299_rev 106312_rev 106289 ... (33 total),LONG_DETOUR (ratio=2.2),"Direct dist: 615m, Path: 1337m",VIA_ROUTING may help,68X,outbound,24→25
4287_rev,5291,True,1800.8999999999996,4287_rev 1034_rev 278159_rev 278157_rev 278163 278129_rev 2666_rev 29 5771_rev 1598_rev ... (24 total),LONG_DETOUR (ratio=3.1),"Direct dist: 579m, Path: 1801m",VIA_ROUTING may help,960,inbound,1→2
1305,115546,True,500.32,1305 1305_rev 3486_rev 676 2992_rev 3849 115545 115546,LONG_DETOUR (ratio=1.5),"Direct dist: 340m, Path: 500m",VIA_ROUTING may help,960,inbound,7→8
4833,261296,True,8645.340000000002,4833 5255_rev 5125_rev 5215_rev 3541_rev 4173 1233 219 122170 1893 ... (132 total),LONG_DETOUR (ratio=4.4),"Direct dist: 1978m, Path: 8645m",VIA_ROUTING may help,960,inbound,9→10
95356,94045_rev,True,17239.610000000004,95356 93863 280883_rev 280865_rev 280864_rev 280863_rev 279248_rev 260221_rev 96955_rev 96654_rev ... (18 total),LONG_DETOUR (ratio=1.9),"Direct dist: 9061m, Path: 17240m",VIA_ROUTING may help,960,inbound,12→13
94045_rev,121514_rev,True,1382.8600000000001,94045_rev 94045 94646 97088 97089 121516 121515 96501 121514_rev,LONG_DETOUR (ratio=1.4),"Direct dist: 993m, Path: 1383m",VIA_ROUTING may help,960,inbound,13→14
3895,4287_rev,True,1769.8100000000002,3895 3895_rev 946_rev 4238 1442_rev 5325 2724_rev 2661_rev 4194_rev 3131 ... (38 total),LONG_DETOUR (ratio=3.8),"Direct dist: 470m, Path: 1770m",VIA_ROUTING may help,960,outbound,21→22
