from_edge,to_edge,root_cause,fix_type,fix_detail,blocking_edge,blocking_reason,route,bound,seq
105735_rev,105653_rev,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,68X,inbound,1→2
105653_rev,106831_rev,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,68X,inbound,2→3
272309,115789,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,68X,inbound,12→13
95649,97153_rev,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,68X,inbound,23→24
97407,96273_rev,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,68X,outbound,6→7
96273_rev,97153_rev,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,68X,outbound,8→9
97153_rev,95649,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,68X,outbound,9→10
95598,95592,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,68X,outbound,12→13
107083,106268,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,68X,outbound,24→25
4287_rev,5291,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,960,inbound,1→2
1305,115546,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,960,inbound,7→8
4833,261296,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,960,inbound,9→10
95356,94045_rev,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,960,inbound,12→13
94045_rev,121514_rev,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,960,inbound,13→14
3895,4287_rev,COMPLEX_ISSUE,MANUAL_REVIEW,Requires manual investigation,,,960,outbound,21→22
