route,bound,seq,from_edge,to_edge,kmb_len,same_junction,connection_exists,bus_reachable,bus_path_len,edge_count,ratio,true_category,fix
68X,inbound,1→2,105735_rev,105653_rev,665.791,False,False,True,2399.2099999999996,49,3.60354826064035,LONG_DETOUR,VIA_ROUTING or check intermediate connections
68X,inbound,2→3,105653_rev,106831_rev,205.596,False,False,True,989.72,5,4.813906885347964,LONG_DETOUR,VIA_ROUTING or check intermediate connections
68X,inbound,12→13,272309,115789,506.242,False,False,True,1411.38,14,2.787955167686601,MINOR_DETOUR,Acceptable or VIA_ROUTING
68X,inbound,23→24,95649,97153_rev,473.023,False,False,True,1297.42,10,2.7428264587557054,MINOR_DETOUR,Acceptable or VIA_ROUTING
68X,outbound,6→7,97407,96273_rev,505.042,False,False,True,1525.7,6,3.0209368725769346,LONG_DETOUR,VIA_ROUTING or check intermediate connections
68X,outbound,8→9,96273_rev,97153_rev,625.282,False,False,True,1518.2900000000002,7,2.4281684104132215,MINOR_DETOUR,Acceptable or VIA_ROUTING
68X,outbound,9→10,97153_rev,95649,704.856,False,False,True,1564.6600000000003,7,2.2198292984666375,MINOR_DETOUR,Acceptable or VIA_ROUTING
68X,outbound,12→13,95598,95592,283.486,False,False,True,596.11,5,2.102784617229775,MINOR_DETOUR,Acceptable or VIA_ROUTING
68X,outbound,24→25,107083,106268,514.657,False,False,True,1337.2400000000007,33,2.598313051216637,MINOR_DETOUR,Acceptable or VIA_ROUTING
960,inbound,1→2,4287_rev,5291,668.648,False,False,True,1800.8999999999996,24,2.6933453775379563,MINOR_DETOUR,Acceptable or VIA_ROUTING
960,inbound,7→8,1305,115546,209.339,False,False,True,500.32,8,2.389998996842442,MINOR_DETOUR,Acceptable or VIA_ROUTING
960,inbound,9→10,4833,261296,2772.681,False,False,True,8645.340000000002,132,3.1180435109556424,LONG_DETOUR,VIA_ROUTING or check intermediate connections
960,inbound,12→13,95356,94045_rev,6395.5,False,False,True,17239.610000000004,18,2.6955843952779306,MINOR_DETOUR,Acceptable or VIA_ROUTING
960,inbound,13→14,94045_rev,121514_rev,657.524,False,False,True,1382.8600000000001,9,2.103132357145899,MINOR_DETOUR,Acceptable or VIA_ROUTING
960,outbound,21→22,3895,4287_rev,681.904,False,False,True,1769.8100000000002,38,2.595394659658838,MINOR_DETOUR,Acceptable or VIA_ROUTING
